NMF,NAD,CFC,NCC,NMC,a2a
2,0,2,152,1,100
3,1,18,1268,7,99.7582205
11,0,28,882,17,96.28482972
2,1,2,226,1,99.83700081
22,1,41,1451,18,96.26966292
2,0,0,9,0,100
5,0,1,112,0,99.84977466
1,0,1,17,0,100
1,0,0,0,0,100
1,0,2,30,0,100
7,0,8,195,6,100
2,0,1,52,1,99.84977466
2,1,0,718,2,99.9
1,0,3,190,2,100
4,0,24,2844,17,99.95014955
1,0,0,1,0,100
1,0,0,22,0,100
10,0,19,531,3,98.79923151
6,6,137,8287,76,99.35483871
3,0,7,242,6,100
11,0,7,320,7,99.90808824
0,0,0,0,0,100
0,0,0,0,0,100
1,0,0,16,0,100
5,4,41,3844,26,99.4947175
2,1,5,607,2,99.90859232
3,1,12,486,9,99.77200182
1,0,4,179,1,100
