b7975d3b9ea33064e8a5da5127d0a22bb6d3b797,/,/,    Do not perform RAT checks on yaml or json files,/,/,100
4fe8ea24cc0403bd5301cef1054da31e78c18d6f,/,/,    Create codeql-analysis.yml,/,/,100
c405e76e74fa89fc807c66ba5e3a1dcaabd44076,/,/,    NOOP rerun github actions,/,/,100
f74a5cef1b2abb581363791e68be2f177df0ffb7,/,/,    NOOP rerun github actions,/,/,100
a05687685f4b638474dc44798a4e90159b65b300,FLUME-3151,Bug,Upgrade Hadoop to 2.10.1,Technical Debt,Major,100
2accecd66656e3e2232d81a809e7cdd54813d9b5,/,/,    NOOP rerun github actions,/,/,100
c5c3c8159bf63538710227ef91385b6f604c19f2,FLUME-3410,Task,upgrade hbase version,Technical Debt,Major,100
abba25ac7f1a0be5669a780dadc0078903ad8793,FLUME-3413,Improvement,Add &quot;initialization&quot; phase to components.,Sinks+Sources,Major,100
b155e204959b33e73f14aa0e3d68d79afeed5755,/,/,    Do not perform RAT checks on yaml or json files,/,/,100
82461b34b144e1e7cd0c818c0c9575ea8f359098,/,/,    Create codeql-analysis.yml,/,/,100
eb5936b9a4a12f7b704cb34633eb890890909c34,/,/,    Fix conflict again,/,/,100
4a6cfdc14e6c6e9c6bb8c7ea7dfeff17ca623a9b,/,/,    NOOP rerun github actions,/,/,100
7ff6a5dcf4ff664a9c8748d9801ba59890a33eea,FLUME-3410,Task,upgrade hbase version,Technical Debt,Major,100
7016f03f162d0bea22006914ec9350b1e4bab509,FLUME-3413,Improvement,Add &quot;initialization&quot; phase to components.,Sinks+Sources,Major,100
a98f2921506537c0b156de2066a7241eaacea42a,FLUME-3410,Task,upgrade hbase version,Technical Debt,Major,100
6869031c6eeca4fb533307626b05f729370ed465,FLUME-3413,Improvement,Add &quot;initialization&quot; phase to components.,Sinks+Sources,Major,100
c178981cead922dfbf11023d32f8f17a7e3e3669,FLUME-3413,Improvement,Add &quot;initialization&quot; phase to components.,Sinks+Sources,Major,99.05494505
3a7bc9c43b8cc5648f4d2c804edf8dde0155fd88,/,/,    Update pom.xml,/,/,100
28fd8d3b547e383bacf90ba8cbbee6abfa27e075,/,/,    NOOP rerun github actions,/,/,100
6e4c04a33f3f331433c1e6eca0c695fd0e9d90d9,/,/,    NOOP rerun github actions,/,/,100
0f13a9c96276aaca9d0c02478d0486de8e86cabb,FLUME-3410,Task,upgrade hbase version,Technical Debt,Major,100
fd05fcefd2065cd128adb79098ace2276424e577,FLUME-3151,Bug,Upgrade Hadoop to 2.10.1,Technical Debt,Major,100
7392c297eb7cbf12fddbb70a7196dfff232e5a78,FLUME-3409,Bug,upgrade httpclient due to cve,,Major,100
ddbf12ff6b8fcf6957297ad76ac904f630146350,/,/,    Increase build timeout,/,/,100
275338b962cd6354f902cae16abdc3dd09d89a1b,/,/,    allow http access to specific maven repos,/,/,100
93de0bf0bfe90304b52cbd6b1c557f6ec2d9565e,/,/,    Round lastModified file time down to the second,/,/,100
2386e39cf8dc4c126909a4e9b53f19cec166e63d,/,/,    Disconnect the connection,/,/,100
ea6996884d661faaabf3773dde0052278bd2c230,/,/,    Explicitly set header,/,/,100
98c388076bcdd2f49bac1ad33c893e85d44fb2aa,/,/,    enable debug logging,/,/,100
0c892ebc7c8d9bfa559b1204c331c525fecce6d0,/,/,    Try to fix failing test,/,/,100
a1d405fc5f6cdd300144a95d2010fd67075760c8,/,/,    Let Jetty pick the port,/,/,100
e54f925f5afb0bc5d393dc15380a313e2e4f08ff,/,/,    Update maven wrapper,/,/,100
5219982c9e1dca90cafd3a4f0ed663dc21f99abc,/,/,    Fix typo,/,/,100
394db116f8e4571450ee6a0b5adbbb6993b987d5,/,/,    Use GitHub Actions instead of Travis,/,/,100
dcfc4a1f4c1ab1fa79761f7bf7708d5094e489c6,/,/,    Stop using Travis,/,/,100
85e0fff7f51971a980e9aa869dd2521929ae88c2,/,/,    One more try to get debug logs in travis,/,/,100
547ac27355863ab672b998e0f3a4dd47dba58d00,/,/,    remove quiet option,/,/,100
21102bb17c2b9b97cc7e9bb383630a4a014b23f9,/,/,    Changes for Travis,/,/,93.49056604
d3ea4ceff13bbbf2e0767e1d36ccce1c14ed6a54,/,/,    Set local host name,/,/,100
310285c3d985b6fd053446ad8f740cb23bb160b7,/,/,    Remove extraneous quote,/,/,100
029649d35cf4a0bab521192e2fbac9a1f18cacaa,/,/,    Tell Travis to build everything,/,/,100
e6803b7953e5fbcf6e9ac427957f5ff0082ec632,/,/,    More diagnostic info,/,/,100
d5045106272103d06b3a4bd15eed92123b31a38a,/,/,    Fix issues in Linux VM. Provide more info to debug Travis,/,/,100
2810811f66da74342d19854a23fcd498b12aea9a,FLUME-3363,Improvement,CVE-2019-20445,Channel,Blocker,99.89772437
485a49c7a991058ee634900ccf4a6467678444ad,/,/,    WIP,/,/,100
041f7c34a3a84704758f3e27bd17cacb376c1135,FLUME-3405,Improvement,Reopened - The parquet-avro version used by flume is 1.4.1  which is vulnerabel.,Node,Blocker,100
4e5a9643cb732d9d639040a1ecc4f7befa583e96,/,/,    Revert removal of morphline-solr-sink,/,/,99.04368054
3ae856b529a85bd5b88b078c9e4d5b405dca8287,FLUME-3403,Improvement,The parquet-avro version used by flume is 1.4.1  which is vulnerabel.,Node,Blocker,99.04368054
763d12ed58f33a496f772a69c6eff7e38bc325c1,FLUME-3339,Dependency upgrade,Remove Xerces and Xalan dependencies,,Major,100
70ce9495ac57ae086332526a5fba412b8ffd6a28,FLUME-3404,Task,Update Commons CLI to 1.5.0  Commons Codec to 1.15  Commons Compress to 1.21 and Commons Lang to 2.6,Build,Major,100
41ea734a273e9e577670ddd266af33d354059f34,FLUME-3400,Wish,Upgrade commons-io to 2.11.0,Node,Blocker,100
9be1c8ecbeb377ad9a2deba9310f4f73e100e800,FLUME-3402,Task,remove org.codehaus.jackson dependencies,Build,Major,100
a51d7a05e14381bcde73705d8c51df4bfd1919dc,FLUME-3356,Bug,Probable security issue in Flume,,Major,98.98631526
