NMF,NAD,CFC,NCC,NMC,a2a
2,0,2,98,0,100
6,0,0,354,1,100
3,0,0,282,2,100
7,0,15,392,6,99.95192308
1,1,8,546,3,99.71098266
6,0,71,4273,36,100
2,0,31,999,12,99.85507246
3,0,2,106,0,100
10,0,10,629,0,100
7,2,47,4186,17,99.7105644
562,144,4704,226290,2051,46.77520351
562,281,4658,221483,2005,46.77520351
1,0,1,15,0,100
2,0,10,383,3,100
1,0,1,28,0,100
29,0,13,42,3,99.75926818
1,0,2,55,0,100
12,3,57,2269,25,97.49638902
16,0,0,0,0,100
3,0,3,288,1,99.9518768
3,0,16,233,0,100
2,0,0,268,0,100
4,1,12,988,4,99.42279942
3,0,2,64,2,100
564,142,4820,230954,2089,46.74593242
564,283,4780,226358,2047,46.74593242
2,0,17,596,4,100
36,3,10,1101,19,98.47182426
1,0,1,19,0,100
3,0,1,30,0,100
4,0,22,1149,3,100
5,0,11,503,3,100
1,0,3,47,0,100
1,0,1,317,1,98.94009217
2,0,1,1,0,100
1,0,0,6,0,100
14,0,74,1351,15,96.61636946
1,0,0,86,0,100
1,0,1,24,0,100
7,0,30,1839,5,98.89423077
2,0,2,59,0,100
4,1,5,326,4,96.36275461
1,0,0,0,0,100
2,0,3,100,1,100
2,0,1,27,1,100
8,0,2,11,0,100
1,0,1,20,1,100
1,0,0,0,0,100
3,0,6,65,2,100
2,0,1,24,0,100
16,3,57,4762,23,99.71590909
12,12,450,18097,119,89.44530046
4,4,76,3309,37,87.27929374
2,0,1,44,0,100
3,0,1,102,0,100
1,0,1,17,0,100
2,0,33,1325,2,93.87857501
4,1,50,2230,16,84.3062201
1,0,8,616,8,100
2,0,2,14,0,100
1,0,0,15,0,81.408308
39,0,292,17358,72,82.95096716
3,0,4,505,2,100
2,0,2,74,0,100
1,0,2,29,0,100
592,146,6000,285340,2409,52.49597424
2,2,12,839,5,99.11660777
2,2,5,391,3,99.38864629
596,307,5929,281771,2338,52.08226221
2,2,35,1510,19,99.78142077
9,1,137,6474,40,99.74536195
1,0,0,7,0,100
601,152,6191,290050,2469,51.74002047
2,2,8,485,3,99.57081545
2,2,20,2063,4,99.57446809
2,2,14,845,11,99.57805907
607,310,6081,284699,2388,51.65058405
2,0,0,3,0,100
3,0,1,145,1,100
1,0,0,9,0,100
3,0,14,677,3,100
1,0,3,178,2,100
32,0,45,3068,15,95.08696979
607,158,6244,292906,2484,61.04883907
607,310,6145,288803,2409,61.04883907
4,0,5,448,4,100
607,158,6250,293396,2488,61.04883907
607,310,6150,289251,2413,61.04883907
607,158,6250,293396,2488,61.04883907
2,2,13,898,5,99.49790795
609,310,6138,288387,2408,61.00679185
2,0,2,270,1,99.9737395
73,73,418,20772,188,84.48515126
3,0,1,68,1,100
9,0,19,1310,5,100
9,2,114,3205,26,97.13004484
9,1,2,174,2,99.93932039
7,0,7,227,3,100
1,0,1,102,1,100
2,0,6,272,3,100
7,7,67,3402,22,99.54723815
0,0,0,0,0,100
31,3,181,5790,82,99.76047904
3,0,11,958,3,100
0,0,0,0,0,100
1,1,2,84,2,99.85105749
1,0,2,22,0,100
5,0,33,1650,4,94.52380952
6,0,5,767,2,99.94044074
645,110,7009,330740,2753,52.39139974
645,347,7009,327640,2753,52.39139974
0,0,0,0,0,100
0,0,0,0,0,100
5,1,131,6573,41,99.94047619
2,0,7,387,3,100
4,1,24,1684,13,93.82171227
6,1,36,2596,8,99.62077013
17,10,335,19926,128,94.9879952
3,0,5,160,0,99.90763547
5,0,1,77,0,100
3,3,62,2543,32,95.14294497
0,0,0,0,0,100
4,0,0,78,0,100
2,0,2,181,1,99.87696094
33,0,117,3914,28,93.93203883
2,2,45,1796,18,94.97767857
13,1,79,3348,27,99.6833216
2,0,3,397,1,100
4,0,3,150,1,100
3,0,4,234,1,100
