Atlas,Avro,Chukwa,Crunch,Curator,Datafu,Eagle,Eventmesh,Falcon,Flume,Giraph,Gora,Hama,Inlong,Knox,Kylin,Mahout,Metron,Mina,Oltu,Openjpa,Opennlp,Pig,Ratis,Sedona,Sentry,Struts,Submarine,Tiles,Zookeeper
100,100,100,99.32249322,100,100,98.42748981,100,100,99.92366412,100,100,96.55172414,100,100,100,100,100,100,100,100,100,81.56329652,94.76635514,100,76.74418605,100,100,99.51456311,100
100,100,100,93.44262295,98.01980198,100,98.36829837,100,100,95.6943367,100,100,93.98496241,100,96.61016949,100,100,99.02166317,100,100,100,100,81.18234804,100,98.63013699,98.41269841,100,100,96.61835749,100
92.83154122,100,98.00838574,99.72451791,94.37086093,100,98.36829837,100,98.6970684,100,98.55072464,100,91.04477612,100,100,100,99.65564738,100,100,100,99.96855346,100,81.18234804,100,100,99.73684211,100,100,44.55205811,99.09706546
100,96.7462039,100,100,100,97.64705882,100,100,100,100,98.18181818,100,100,100,100,100,100,100,99.26238145,83.07692308,100,100,100,97.06422018,98.66666667,100,100,100,47.35632184,98.89135255
100,98.39449541,100,100,93.92446634,97.64705882,100,100,98.68421053,100,99.28571429,100,100,100,100,100,100,100,99.47862357,75,100,100,78.61089187,94.65020576,100,100,100,100,92.26069246,94.7257384
100,100,99.3877551,91.29251701,100,98.84169884,98.42748981,100,100,98.11616954,100,100,100,100,100,100,96.39037433,100,100,100,100,100,78.61089187,100,100,100,100,95.55984556,100,98.6328125
97.49552773,100,100,92.16216216,100,100,98.28388598,98.50107066,100,100,100,100,100,100,100,100,97.86959329,100,100,100,100,100,93.04812834,100,100,100,100,100,100,100
100,100,100,100,100,100,98.28388598,98.50107066,100,99.80506823,100,100,90.4,100,100,100,99.61290323,100,100,100,99.68289202,100,78.34710744,99.3227991,82.78145695,100,100,100,100,100
100,100,99.19110212,100,100,100,100,100,100,100,95.27027027,100,100,100,100,95.96412556,98.77022654,100,100,100,100,100,74.81542248,95.59471366,97.33333333,100,100,100,100,99.62686567
100,100,100,100,100,98.84169884,99.94089835,100,100,99.84441851,100,100,96.875,100,100,100,100,100,100,100,100,100,66.48841355,90.61135371,94.9044586,100,100,100,99.61685824,98.56630824
95.89552239,100,100,100,100,100,100,100,100,99.84441851,88.53503185,100,100,100,100,100,100,100,100,100,100,100,66.48841355,92.15686275,100,100,100,100,100,100
92.76190476,100,96.88109162,100,100,100,99.88172679,100,97.52883031,99.84441851,97.07602339,100,100,100,100,100,100,99.37629938,94.28060769,100,100,100,100,97.43040685,85.34031414,93.42105263,100,100,100,98.56630824
87.36263736,100,100,92.15017065,100,98.84169884,99.9408284,100,100,100,96.50145773,100,96.06299213,100,100,88.60810269,99.87113402,100,100,100,100,100,70.49924357,91.77489177,98.16513761,98.95561358,100,100,100,100
100,100,99.52963311,99.41463415,100,98.84169884,98.28388598,100,90.14336918,100,98.13084112,100,100,100,100,88.25335893,100,100,100,100,100,100,98.81744272,97.81181619,100,100,100,100,100,96.42248722
100,100,100,94.78623566,100,98.84169884,98.22674419,100,93.76218324,100,100,100,100,100,100,95.96412556,100,100,100,99.34640523,100,100,93.99717514,93.34637965,98.16513761,100,100,100,100,100
99.64285714,94.9339207,100,94.78623566,92.78846154,100,98.22674419,100,100,100,11.21495327,100,100,100,100,100,100,100,100,100,100,100,69.16967509,94.42231076,98.63013699,100,100,99.729973,100,100
100,100,100,100,100,100,98.22467986,100,86.33776091,100,100,100,100,100,100,99.88304094,87.49194068,100,100,100,94.14219919,100,100,93.19148936,98.63013699,100,100,100,100,100
95.32258065,100,100,100,100,100,99.9112426,100,92.22423146,100,33.01587302,95.09493671,100,24.50738916,100,100,100,100,100,100,99.92143512,94.11990776,99.8427673,95.16441006,97.26027397,100,100,100,100,92.19600726
100,100,100,100,100,100,99.9112426,100,90.8438061,100,100,100,100,100,100,99.92199688,100,100,93.55628059,100,100,100,99.45355191,99.0619137,71.75925926,100,99.03788334,100,100,98.52631579
98.52724595,100,100,100,100,100,99.88172679,100,90.57591623,100,100,100,93.79310345,87.77022854,100,88.19527811,100,100,99.05660377,100,100,100,100,98.68913858,81.53153153,100,100,100,100,100
95.67233385,100,98.33948339,100,100,100,100,98.50107066,96.77966102,100,89.48948949,100,100,100,100,99.71228935,97.64780674,100,100,100,100,100,87.79884584,95.42124542,90.47619048,100,100,100,99.42196532,100
100,94.9044586,100,100,100,100,99.94089835,98.50107066,96.77966102,100,94.47368421,100,92.56756757,100,100,88.34134615,95.24103832,100,100,100,100,99.61750956,100,100,96.42857143,100,100,100,100,100
100,100,99.54669084,100,100,97.33840304,100,100,96.77966102,100,100,100,100,100,100,88.34134615,100,100,100,99.35483871,91.1497105,100,100,99.64157706,94.82758621,100,100,100,100,99.58677686
95.1986755,100,100,94.15137615,100,97.33840304,98.28388598,100,96.77966102,100,100,100,100,100,100,98.95441238,95.07692308,100,100,98.10725552,100,100,100,93.09309309,96.23430962,100,100,100,100,100
98.99497487,100,100,100,100,100,99.94275902,100,96.77966102,100,98.2278481,100,100,100,100,88.27838828,100,100,100,98.76923077,100,100,86.67157585,92.35382309,99.59349593,15.4589372,100,46.09665428,100,100
100,100,100,94.80519481,100,97.33840304,97.91304348,100,100,93.51701783,89.58837772,100,100,100,100,88.27838828,100,100,100,99.09090909,100,100,100,99.46524064,100,100,100,98.86148008,100,100
98.99833055,98.54469854,100,100,100,98.87640449,98.23903002,100,96.77966102,100,100,100,100,98.62637363,100,88.27838828,100,100,94.41048035,99.39393939,100,100,100,100,99.19354839,100,100,100,100,100
98.49749583,96.57794677,100,92.65033408,100,100,99.57240593,100,100,88.48,98.87640449,100,100,100,100,100,100,100,96.26556017,100,100,100,100,82.56578947,100,100,99.84953355,99.62476548,100,100
99.32885906,100,100,100,100,100,100,100,100,100,100,100,100,95.75671853,100,100,100,94.22680412,100,100,100,100,72.49373434,99.69604863,66.80851064,100,100,95.7771788,99.22779923,98.32635983
89.05472637,100,99.54954955,100,100,99.25925926,99.57240593,98.50107066,96.77966102,100,93.79844961,100,100,100,98.1416957,100,100,91.58383035,100,100,100,100,72.49373434,98.33585477,66.80851064,100,100,100,100,100
95.90163934,77.59433962,99.28762244,100,100,99.25925926,99.57240593,100,100,100,100,100,100,100,99.09297052,99.76644609,100,100,100,99.09090909,100,100,100,88.6627907,73.45132743,100,100,97.88494078,100,100
97.55700326,100,100,100,100,100,100,98.50107066,96.77966102,100,100,100,91.92546584,100,98.98762655,100,100,99.67928159,100,100,100,100,96.61835749,100,100,98.85057471,100,100,100,100
100,100,99.64788732,100,100,100,28.59416446,100,99.33993399,92.80715397,97.46376812,100,100,100,99.5545657,100,93.28703704,100,100,100,97.46265603,100,68.96551724,92.3566879,100,100,100,99.25249169,100,100
89.79238754,100,100,100,96.41109299,100,99.65517241,100,100,100,100,99.16805324,100,100,98.78987899,100,100,98.3627204,100,100,100,100,68.96551724,90.84249084,97.98994975,100,100,98.8420182,100,99.13419913
87.82051282,76.04938272,100,100,100,99.25925926,99.95088409,100,100,92.89044289,100,100,100,100,99.56521739,100,100,100,100,92.77108434,100,100,67.66169154,100,100,100,100,76.21753247,100,100
87.09677419,100,100,95.58823529,100,100,99.95085995,100,87.28522337,100,99.24528302,100,100,100,99.56331878,99.76644609,100,100,100,98.20895522,100,100,67.66169154,97.46376812,97.98994975,100,100,99.44311854,100,100
100,100,100,100,100,100,99.87714988,100,86.56987296,100,100,100,79.89949749,100,66.60649819,99.76644609,100,100,100,100,92.51052921,100,95.04573171,90.64748201,99.01960784,100,100,100,100,100
87.98701299,100,100,100,100,99.25925926,100,23.72881356,85.43165468,100,100,100,100,100,96.50909091,100,100,93.78531073,100,99.11764706,100,100,100,100,99.03846154,100,100,100,100,100
87.09677419,99.23954373,100,100,100,100,99.90167158,100,100,100,100,100,100,100,91.02011494,100,100,100,99.92163009,97.66081871,100,99.83022071,100,96.84210526,100,100,100,99.05956113,100,100
98.68913858,100,100,100,100,100,100,100,100,100,98.02867384,93.19620253,92.30769231,100,100,100,100,100,99.22299922,100,99.91088932,100,67.80523256,99.31271478,100,100,100,100,100,100
87.98701299,100,100,100,100,100,100,23.86980108,100,100,100,100,99.04761905,100,94.23076923,100,98.6537426,91.79810726,100,97.42857143,100,100,67.80523256,95.71917808,100,98.34123223,100,99.68944099,100,100
94.44444444,100,100,100,100,100,100,100,95.76719577,100,100,100,98.13953488,100,99.87309645,89.52919021,100,98.57761286,100,100,100,100,100,96.37305699,100,100,100,100,100,100
100,100,100,100,100,100,100,100,94.40677966,92.8431756,100,100,82.87292818,100,100,88.67554859,100,100,100,100,100,100,96.94779116,100,100,100,100,100,100,100
