CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDEV,NUC,AGE,NS,ND,Entropy,TLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,a2a
68bc4a0dc791faba5e7f0beba62e610aba6bf427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,100
50de4553e9be4ea828c57a0a002e81fe0c2d860c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,100
75f586c64b3cf650302535945e7577fa7690f952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,100
f2b6710c19a50558e0d7660024a894738abd0e55,3,48,17,31,0,0,0,2,3,6,1,3,0.528891814,753,35,9,146,143,3,5514,5314,200,29,29,0,100
8e98c9388befb6d02a49cda99545cceb1afef1d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,100
191d30b6bdbeccd9dc0f9e0e81d257ed10f73b70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,100
ffceeb61acf5bc879aab886b8f9e576e71620283,1,16,4,12,0,0,0,2,2,11,1,1,0,36,14,12,2,1,1,270,191,79,1,1,0,100
b819dd1702cf7078e9a653d741ac2b5662771cd1,1,2,4,2,0,0,0,2,3,0,1,1,0,45,15,13,2,2,0,261,270,9,1,1,0,100
5c0f78f48e58e8889702068ef406492596027ba9,1,19,19,0,0,0,0,2,2,11,1,1,0,378,16,14,67,67,0,2761,2761,0,16,16,0,100
e2114aa1977c5cb21e8babc7f6f7ea5942eb7131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0,0,0,0,0,0,0,0,0,100
373cd8aabd1bbbdbe52fcfed5bf48b8808cea1c9,3,4,4,0,0,0,0,2,4,6,1,3,1.5,481,17,15,85,85,0,3045,3045,0,25,25,0,100
20948a0d1459d91ad465fa6e5a9a8d2285c6b628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,100
562c8ce7defa6e8b8ce79d62c8c8b9f13fb978d3,1,3,3,0,0,0,0,2,2,11,1,1,0,57,19,17,10,10,0,184,184,0,10,10,0,100
1c1f3f1b8fcaa8816c2eb4105040769c51f8519c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,100
288fe10b8a6e9507c3594d4179a70d847f1a9730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,100
e74462105403984cbbf6945fcc148a4bd9598521,8,12,12,0,0,0,0,1,1,0,1,4,2.918295834,615,7,7,81,128,47,3411,3960,549,37,88,51,99.03788334
bf553554a1d59d02701058100172474a85ad4961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10,0,0,0,0,0,0,0,0,0,100
