19d26b29a240dc26ed4cc4df22cb5f1804cdbbd9,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
fde2b70fab62a6db9d272d9b3ad2f0827257b78c,WW-5339,,,,,95.54598715
bb83a6014e0a5073a265aaea1b2a9ce8b796bdd6,WW-5342,,,,,100
501d395b974cf14fe647d0e8d50ec4e0002edc34,WW-5341,,,,,100
684c61560978fecdbdd5d569664d155a13bf61bd,/,/,    Split SonarCloud into separate action,/,/,100
61ca68f4a717c0e8ab254c460e92a9235950b089,/,/,    indent CdiObjectFactory with 4 spaces everywhere,/,/,100
142bb9efe5245b0920c8a45442cf27c2a083bd56,/,/,    Merge pull request #753 from apache/dependabot/github_actions/actions/cache-3.3.2,/,/,100
49a27d1b25e8ba79ce5d30aff41b1c1581a2bab8,/,/,    replace BeanManager::createInjectionTarget,/,/,100
b7f73715d9ea6247bdc501809029b4888fe90006,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
236ae15c661659b3b06d6381941f95700fcb7e00,/,/,    [maven-release-plugin] prepare release STRUTS_6_3_0_1,/,/,100
4c044f12560e22e00520595412830f9582d6dac7,/,/,    Always delete uploaded file,/,/,100
f4253ff8ffe26544c3e77deaab4ddc5d2c2a773f,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
0ba2d69af90f5574c5cccf456645fed268c3cd61,/,/,    [maven-release-plugin] prepare release STRUTS_6_3_0_1,/,/,100
4f5c4ff00a69c7751c4ebeb233a76a4afca1cbed,/,/,    Bump actions/cache from 3.3.1 to 3.3.2,/,/,100
59e9c18caca638e7193af6bacb72f7af79a08e3c,/,/,    Merge pull request #752 from apache/dependabot/github_actions/actions/upload-artifact-3.1.3,/,/,100
badb3f4579bc7656567f61c28114547c66e0b368,/,/,    Merge pull request #751 from apache/dependabot/github_actions/actions/checkout-4,/,/,100
f0e3cec5cfad44d1167511ff254727faf9ba4707,/,/,    Bump actions/upload-artifact from 3.1.2 to 3.1.3,/,/,100
50b36695e8503f042f1723eedeed920bba6c97c4,/,/,    Bump actions/checkout from 3 to 4,/,/,100
f70feb11e2bb7942befefef454c9785a89592c68,/,/,    Merge pull request #748 from apache/feature/notify-builds,/,/,100
74e5aad4f803c25c7b15812eea5d4d21e38f5dd0,/,/,    Update .asf.yaml,/,/,100
85fe680715c39d698450474188c11dadb70528ab,/,/,    Moves all CI notifications to commits@ list,/,/,100
a0185f2483b098211bda92792400af569bf6578a,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
1a88f78a7ea2fba76b0b1a2a509f1b7084a34e98,/,/,    [maven-release-plugin] prepare release STRUTS_6_3_0,/,/,100
20e2110614496fd953c180a7ff8590e0513b051f,/,/,    Reverts version to 6.3.0-SNAPSHOT,/,/,100
03e232344b5ddffcee376c65dc754570bd9cab73,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,100
90adbfb3cee53cc4284d3155a8a95009a8b35f55,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
65ff2422efd1abd91682c85faa8b4233b716fc14,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
13f0591ca1c3175932ad9fcc7d3374e0f2819308,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
452cb774a92fb65627afbb4827f931d55b64d520,WW-5340,Improvement,Introduce optional AST node exclusion list,Core,Minor,100
bfe1f8cd30d9cc07a0a4b71169d4a8191d2199fc,WW-5342,,,,,100
ff79c1b041871f56c6f5275a3a25b28960f07c91,WW-5342,,,,,95.54598715
2b70b024bd3297583c4aa45474024d21c39de866,WW-5339,,,,,100
7bd31cf3159045f3dc285bfde008397a8ebae21f,WW-5339,,,,,95.54598715
891598545df6cd32985052c427639331eac1d1ed,WW-5334,Improvement,Misc VelocityManager code cleanup,Plugin - Velocity,Minor,100
bc85d35a2928d74bdcd409e2ab5b3fd8b189e967,WW-5341,,,,,100
