ab07bf7e64e9f0bba97d54953af111576b109840,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
d5e5273904b973ae9c2f8d723ea7b20ae863cf4c,/,/,    [maven-release-plugin] prepare release org.apache.oltu.commons.parent-1,/,/,100
5a5a1479f72479e059f109842e4f9c32dc23d851,/,/,    all modules vesion rollback  release failed,/,/,100
68f07341c104b3ffc2bbb8430b4e7da51970c8ea,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
532f5c11c9f75ec6a5fe98bdf2ce49c21a38098e,/,/,    [maven-release-plugin] prepare release org.apache.oltu.commons.parent-1,/,/,100
46ab5481c98ecf396dfe43f0dece7d071ad2806c,/,/,    added missing SCM info  that drive SCM in a wrong path and release fails,/,/,100
05c831cf52d5a066eab862bc9b55090883e49fe6,/,/,    [maven-release-plugin] rollback the release of org.apache.oltu.commons.parent-1,/,/,100
e3c5a516c3cc4ffeb04ee72e2ee9258bae299d71,/,/,    [maven-release-plugin] prepare release org.apache.oltu.commons.parent-1,/,/,100
9aef4419091339c22bba1c245b43d3a03083180f,/,/,    [maven-release-plugin] rollback the release of org.apache.oltu.commons.parent-1,/,/,100
2fa9b7c7a692d25ece44c657727882d7fc4d09a6,/,/,    [maven-release-plugin] prepare release org.apache.oltu.commons.parent-1,/,/,100
70ca793ab4172deaa958e349e2636583bdefa634,/,/,    @releng minor fix (moving the unit test to the correct package),/,/,99.80544747
6579a1c2f8343f48cbfd709e643c52c65633c7c8,/,/,    @releng minor fix (moving the unit test to the correct package),/,/,99.80544747
dc6325781bd05362e0834c15e513c9faeace3d99,OLTU-131,Bug,Signature parsing from access token is broken for character encodings that are not single-byte,oauth2-jwt,Critical,100
e6a370f90b01a62b1b94ba1d8ee155613fb1d8dd,OLTU-131,Bug,Signature parsing from access token is broken for character encodings that are not single-byte,oauth2-jwt,Critical,100
cf501d3a1ba1e0ff735434b86fd5ddafb7f780c0,OLTU-131,Bug,Signature parsing from access token is broken for character encodings that are not single-byte,oauth2-jwt,Critical,100
