NMF,NAD,CFC,NCC,NMC,a2a
19,2,29,1517,16,88.81118881
4,0,3,23,1,100
14,4,53,2058,54,89.83606557
2,0,1,52,0,100
14,0,66,2351,58,96.25
1,0,0,17,0,100
1,0,0,15,0,100
1,0,0,0,0,100
5,0,6,240,2,100
1,0,5,20,0,99.06542056
1,0,0,6,0,100
3,0,2,119,1,100
1,0,1,107,0,100
1,0,2,6,4,98.08917197
0,0,0,0,0,100
10,0,5,333,6,93.33333333
6,0,49,1822,40,93.00699301
1,0,0,0,0,100
3,0,3,181,1,100
3,0,2,135,1,100
1,0,1,28,0,100
1,0,0,3,0,100
