6cf52300cc2f91566a856fcf9a57e878f1c4ab85,/,/,    Fix build fails.,/,/,100,,,,,,,,
d7387244829330ab06df56d4c2fe9bdefda04a59,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1673614 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
a791717268f8d07b707a1571e190e7531043a95c,HAMA-949,Improvement,File splits based on number of input files,,Major,100,,,,,,,,
198020ac3acd499cebf22f6c6d9039e6854fb728,/,/,    git-svn-id: https://svn.apache.org/repos/asf/hama/trunk@1673392 13f79535-47bb-0310-9956-ffa450edef68,/,/,100,,,,,,,,
b55af25b8670b898daa9d3f867bac1141ef443c9,/,/,    fix minor bug,/,/,100,,,,,,,,
a80f2c0df3e0900cd39bb52880ff480653866cc1,HAMA-944,Improvement,Add JSON format option to fastgen command,examples,Trivial,99.8828125,,,,,,,,
4ef9f9ae46b8afac5618f7fafe332581602baa71,/,/,    Use thread pool,/,/,100,,,,,,,,
24246ffde7f815c733848c7d2fbdaae5aa887399,/,/,    minor refactor.,/,/,100,,,,,,,,
d0a4fad4abdc974b2cf29e7159638c0b5e9857cf,/,/,    Fix build fails.,/,/,100,,,,,,,,
8df31418cb25428c20d4439f131d8b0336991da0,/,/,    load vertices concurrently,/,/,100,,,,,,,,
b975237dafca3a0b32c0d0a158ebb851bc6065fb,HAMA-526,Sub-task,Multi-threaded vertex processing,graph,Major,100,,,,,,,,
b582ad269066c2054366b08da9490482ca52b56a,HAMA-946,Improvement,Graph package code optimization for improve performance,graph,Major,97.79681763,,,,,,,,
d38b4dfa17f8ab064f88b8a05cb8839e0a9d0f3a,HAMA-947,Bug,duplicate hama-*.jars in lib directory,build ,Major,100,,,,,,,,
cb909a923d59041829d6f680d84aabbcfdec8ff7,/,/,    Fix YarnSerializePrinting and pom file for jdk8,/,/,100,,,,,,,,
60b1bb0ce8e77d0459000367b5a3b4f457d1fe7d,/,/,    Build for jdk8,/,/,100,,,,,,,,
f527528f3e3944d18515c78c071455b5c6aad345,/,/,    convert int to text using String.valueOf().,/,/,100,,,,,,,,
855f9f585eb23763bed68272d7076b44f76e4cb2,HAMA-942,New Feature,DockFile for Hama,,Major,100,,,,,,,,
5fc51015eee744daed7f7c2f34ab4030c9555683,HAMA-943,Bug,java.lang.IllegalAccessError occur at run time when set default &quot;bsp.user.name&quot;,yarn,Major,100,,,,,,,,
df5ecdec3aef47a8b9cacc240e07a5bb06d7baf0,HAMA-935,Bug,Doesn&apos;t operate if hostname doesn&apos;t match between AppMaster and Zookeeper quorum,yarn,Blocker,100,,,,,,,,
48a376432c1f1240a096f407a1c7e87f9eac03d9,/,/,    Fix semiClusterTest build fails,/,/,100,,,,,,,,
c01f6c8de816661f640a1c567ece02fb78eb3e3d,/,/,    Code Reformatting,/,/,100,,,,,,,,
