1fdf245200fc839d25d59a637994c62173429bd2,OPENJPA-2885,Task,Make openjpa-junit5 support jakarta namespace,,Major,100
3b6a69e9f0d041b034ce11d934d7321732d069c8,OPENJPA-2884,Task,javax.annotation.processing shouldn&apos;t be relocated in jakarta shade,,Major,100
6be0f5b061887bdfee948044d28bae4673204b1e,/,/,    Considering only active pods for TCPRemoteCommitProvider (#85),/,/,100
9113461cb98d2c608ad6cf4d703521a1d1780fec,OPENJPA-2883,Bug,UseTriggersForAutoAssign in Oracle seems to be broken,jdbc,Major,99.99305073
0fa0ee9790e1246934b9a553bf55e0a658b0e5c3,/,/,    Merge pull request #82 from dazey3/OJ2882_master,/,/,100
30c443dcc32fdc43b75431c9579f8ca415421d17,OPENJPA-2882,Bug,Exception passing javax.persistence.* String values to createEntityManager(Map),,Minor,95.86910679
b2a95194349ea1cae59211247a12560a26b64f0c,/,/,    just line break,/,/,99.99178172
a0e40795ff786ca74d2f63b9f5956332c0114856,OPENJPA-2877,Bug,[JPA-2.1] implement AttributeConverter ,kernel,Major,99.99178172
d698ccaf00ccffd2a15430363885dafbe5a66ae9,OPENJPA-2877,Bug,[JPA-2.1] implement AttributeConverter ,kernel,Major,100
116eda990351130f70ec384c182efecd36b26977,OPENJPA-2877,Bug,[JPA-2.1] implement AttributeConverter ,kernel,Major,100
c5b97348fcfcb77d1a0c00813bc4c18bf85140f7,OPENJPA-2614,Bug,First rollback after application start does not work under certain circumstances,jpa,Major,100
5801f419c0e7df6be74bc96e9366303cf7b1293d,/,/,    update docker-maven-plugin,/,/,100
745795b1d9b8481088c656128ce50f3967495493,/,/,    add documentation about how to run with Podman,/,/,100
c6f42826b72940aa771a394d42173b2f7fec0428,OPENJPA-2876,Bug,running &apos;refresh&apos; schema action creates wrong SQL output,sql,Major,100
f8d258594f55cdf06db16f2321a6ae6c6342616e,OPENJPA-2876,Bug,running &apos;refresh&apos; schema action creates wrong SQL output,sql,Major,99.96712419
1742f62032e669b65790e6e9bef28307fc8d2cab,/,/,    fix indention and add missing javadocs,/,/,100
722eb579eaef5e3afedf97aa20be330126ff3ac3,OPENJPA-2875,Improvement,JPA Provider must filter out other JPA Providers,,Major,100
2771cce607663ce19f87cf60f068bcc45eefe24d,/,/,    Small fixes on the tests,/,/,100
4894c17c0799ae4c86be6b996ca99799edbfab6a,OPENJPA-2875,Improvement,JPA Provider must filter out other JPA Providers,,Major,99.99178037
ba985ac8c7c1a02b2b999ff33567910bf536cb66,/,/,    [maven-release-plugin] prepare for next development iteration,/,/,100
6f721f69c93f9c48027837da31a9e2e6f1603647,/,/,    [maven-release-plugin] prepare release 3.2.0,/,/,100
bdf3f0a543a02a9ffdd554a8e184b7bbdcf628d0,OPENJPA-2833,Task,Upgrade to ASM 9,,Major,100
6546f259b25d211e60a810c62a53010adfc719f7,/,/,    further documentation fixes. up to JPA 2.2,/,/,100
eec95cd6cb0a30d94b80f0eaf7b2b6838bdaf415,/,/,    wip update compat matrix,/,/,100
6eb984a3752c26998d7a2098376bda4221648459,/,/,    add java.time Entity field types support,/,/,100
61540f00c4bb51c623f2b33a6d12fded14d61d7a,/,/,    reserved column words should be public,/,/,100
9c95b71fcc88ce7e3b08054c8c30cd80e5a89aa1,/,/,    update docs to reflect changes in OpenJPA-3.2.0,/,/,100
8f79c8aba8ec647c3bc7d148b76b39b0d53bb45d,/,/,    up to 2021,/,/,100
64d82535788e5dd0bd38f5652524a21fc3a0e2b9,/,/,    pimp release notes in preparation for our 3.2.0 release,/,/,100
f72f3ca7e07b539c2de3c31e3381e8f9c9216807,OPENJPA-2873,New Feature,Add ProductDerivation for persistence_2_2.xsd,jpa,Major,100
361da251a9a42e97c3752b7c4bf8064d574eceb9,/,/,    update docs for OpenJPA-3.2.0,/,/,100
271e3e50cff8e4799eb9ae60acd249ab4fdbf9af,/,/,    upgrade documentation for the next release,/,/,100
