CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDEV,NUC,AGE,NS,ND,Entropy,LT,EXP,REXP
,,,,src/java/org/apache/avro/generic/GenericDatumWriter.java,15,1,149,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,31,4,163,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumReader.java,24,6,70,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,9,0,33,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,2,1,87,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,14,0,179,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/RandomData.java,3,0,103,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolGeneric.java,1,0,121,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,2,0,131,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestSchema.java,12,1,148,,,,,,,,,,,
b061e6203def8a518b23fc8863126b0b3d43002b,1,0,20,src/java/org/apache/avro/specific/SpecificDatumReader.java,0,20,45,0,0,1,6,107,1,1,0,45,29,7
70ffe34fe20ea9b6a85995b29b6d1a8c25a43a83,15,255,19,src/java/org/apache/avro/Schema.java,52,14,496,3,0,1,10,0,1,5,3.351408129,2243,30,8
,,,,src/java/org/apache/avro/generic/GenericData.java,29,0,218,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,34,0,304,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumWriter.java,14,0,158,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericFixed.java,24,0,0,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/FixedSize.java,30,0,0,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,9,0,184,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumReader.java,6,2,83,,,,,,,,,,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,1,0,88,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,12,1,193,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificFixed.java,28,0,0,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/RandomData.java,4,0,106,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolGeneric.java,2,0,122,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestProtocolSpecific.java,4,0,133,,,,,,,,,,,
,,,,src/test/java/org/apache/avro/TestSchema.java,6,2,158,,,,,,,,,,,
998a811d2a0506a34aeb3f9bdb263cf2d89979fb,4,34,34,src/java/org/apache/avro/Protocol.java,13,13,227,0,0,1,11,2,1,3,1.511210352,1290,31,9
,,,,src/java/org/apache/avro/Schema.java,17,17,529,,,,,,,,,,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,2,2,330,,,,,,,,,,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,2,2,204,,,,,,,,,,,
513251ce736834d9507cd41ceb4cb73af9de0cd1,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,32,10
2b7ea9cc6054a9408457fdd01a5a82181144c992,2,53,2,src/java/org/apache/avro/Schema.java,43,2,529,0,0,1,12,0,1,2,0.684038436,692,33,11
,,,,src/test/java/org/apache/avro/TestSchema.java,10,0,163,,,,,,,,,,,
